person_identifier,section_identifier,Status,first_name,Last Name,Email,Credits,Grade Option,Registered Date,BeginDate,End Date,Status Change Date,InitialCourseGrade,Final Course Grade,upm_affairs
apalombo,Fall 2016 Session IANT483 - 2,Enrolled,Alyssa,Palombo,apalombo@campuslabs.com,,,,,,,,,
apalombo,Fall 2016 Session IIACC253 - 2,Enrolled,Alyssa,Palombo,apalombo@campuslabs.com,,,,,,,,,
apalombo,Fall 2016 Session IIECO202 - 3,Enrolled,Alyssa,Palombo,apalombo@campuslabs.com,,,,,,,,,
apalombo,Fall 2016ECO321 - 1,Enrolled,Alyssa,Palombo,apalombo@campuslabs.com,,,,,,,,,
areilly,Fall 2016 Session IANT483 - 2,Enrolled,Ashley,Reilly,areilly@campuslabs.com,,,,,,,,,
areilly,Fall 2016 Session IIACC253 - 3,Enrolled,Ashley,Reilly,areilly@campuslabs.com,,,,,,,,,
areilly,Fall 2016ACC249-1,Enrolled,Ashley,Reilly,areilly@campuslabs.com,,,,,,,,,
areilly,Fall 2016ECO321 - 2,Enrolled,Ashley,Reilly,areilly@campuslabs.com,,,,,,,,,
arice,Fall 2016 Session IANT483 - 3,Enrolled,Annemieke,Rice,arice@campuslabs.com,,,,,,,,,
arice,Fall 2016 Session IIACC253 - 3,Enrolled,Annemieke,Rice,arice@campuslabs.com,,,,,,,,,
arice,Fall 2016ACC249-1,Enrolled,Annemieke,Rice,arice@campuslabs.com,,,,,,,,,
arice,Fall 2016ECO321 - 2,Enrolled,Annemieke,Rice,arice@campuslabs.com,,,,,,,,,
bwilcox,Fall 2016 Session IECO201 - 1,Enrolled,Brad,Wilcox,bwilcox@campuslabs.com,,,,,,,,,
bwilcox,Fall 2016 Session IIANT201 - 2,Enrolled,Brad,Wilcox,bwilcox@campuslabs.com,,,,,,,,,
bwilcox,Fall 2016ACC249-3,Enrolled,Brad,Wilcox,bwilcox@campuslabs.com,,,,,,,,,
bwilcox,Fall 2016ECO321 - 3,Enrolled,Brad,Wilcox,bwilcox@campuslabs.com,,,,,,,,,
cconnorbarrie,Fall 2016 Session IACC141 - 1,Enrolled,Colleen,Connor Barrie,cconnorbarrie@campuslabs.com,,,,,,,,,
cconnorbarrie,Fall 2016 Session IECO201 - 2,Enrolled,Colleen,Connor Barrie,cconnorbarrie@campuslabs.com,,,,,,,,,
cconnorbarrie,Fall 2016 Session IIANT201 - 2,Enrolled,Colleen,Connor Barrie,cconnorbarrie@campuslabs.com,,,,,,,,,
cconnorbarrie,Fall 2016ACC249-3,Enrolled,Colleen,Connor Barrie,cconnorbarrie@campuslabs.com,,,,,,,,,
ciannone,Fall 2016 Session IACC141 - 2,Enrolled,Casey,Iannone,ciannone@campuslabs.com,,,,,,,,,
ciannone,Fall 2016 Session IECO201 - 3,Enrolled,Casey,Iannone,ciannone@campuslabs.com,,,,,,,,,
ciannone,Fall 2016 Session IIECO202 - 1,Enrolled,Casey,Iannone,ciannone@campuslabs.com,,,,,,,,,
ciannone,Fall 2016ANT340 - 2,Enrolled,Casey,Iannone,ciannone@campuslabs.com,,,,,,,,,
cnicolas,Fall 2016 Session IANT483 - 1,Enrolled,Chris,Nicolas,cnicolas@campuslabs.com,,,,,,,,,
cnicolas,Fall 2016 Session IIACC253 - 2,Enrolled,Chris,Nicolas,cnicolas@campuslabs.com,,,,,,,,,
cnicolas,Fall 2016 Session IIECO202 - 3,Enrolled,Chris,Nicolas,cnicolas@campuslabs.com,,,,,,,,,
cnicolas,Fall 2016ANT340 - 3,Enrolled,Chris,Nicolas,cnicolas@campuslabs.com,,,,,,,,,
dhunter,Fall 2016 Session IACC141 - 2,Enrolled,Debra,Hunter,dhunter@campuslabs.com,,,,,,,,,
dhunter,Fall 2016 Session IECO201 - 3,Enrolled,Debra,Hunter,dhunter@campuslabs.com,,,,,,,,,
dhunter,Fall 2016 Session IIECO202 - 1,Enrolled,Debra,Hunter,dhunter@campuslabs.com,,,,,,,,,
dhunter,Fall 2016ANT340 - 2,Enrolled,Debra,Hunter,dhunter@campuslabs.com,,,,,,,,,
dkaczmarek,Fall 2016 Session IACC141 - 3,Enrolled,Daniel,Kaczmarek,dkaczmarek@campuslabs.com,,,,,,,,,
dkaczmarek,Fall 2016 Session IIACC253 - 1,Enrolled,Daniel,Kaczmarek,dkaczmarek@campuslabs.com,,,,,,,,,
dkaczmarek,Fall 2016 Session IIECO202 - 1,Enrolled,Daniel,Kaczmarek,dkaczmarek@campuslabs.com,,,,,,,,,
dkaczmarek,Fall 2016ANT340 - 2,Enrolled,Daniel,Kaczmarek,dkaczmarek@campuslabs.com,,,,,,,,,
dmckeown,Fall 2016 Session IANT483 - 1,Enrolled,Derrick,McKeown,dmckeown@campuslabs.com,,,,,,,,,
dmckeown,Fall 2016 Session IIACC253 - 2,Enrolled,Derrick,McKeown,dmckeown@campuslabs.com,,,,,,,,,
dmckeown,Fall 2016 Session IIECO202 - 3,Enrolled,Derrick,McKeown,dmckeown@campuslabs.com,,,,,,,,,
dmckeown,Fall 2016ANT340 - 3,Enrolled,Derrick,McKeown,dmckeown@campuslabs.com,,,,,,,,,
ebarry,Fall 2016 Session IACC141 - 1,Enrolled,Emily Rose,Barry,ebarry@campuslabs.com,,,,,,,,,
ebarry,Fall 2016 Session IECO201 - 1,Enrolled,Emily Rose,Barry,ebarry@campuslabs.com,,,,,,,,,
ebarry,Fall 2016 Session IIANT201 - 2,Enrolled,Emily Rose,Barry,ebarry@campuslabs.com,,,,,,,,,
ebarry,Fall 2016ACC249-3,Enrolled,Emily Rose,Barry,ebarry@campuslabs.com,,,,,,,,,
eklapper,Fall 2016 Session IACC141 - 3,Enrolled,Emily,Klapper,eklapper@campuslabs.com,,,,,,,,,
eklapper,Fall 2016 Session IIACC253 - 1,Enrolled,Emily,Klapper,eklapper@campuslabs.com,,,,,,,,,
eklapper,Fall 2016 Session IIECO202 - 2,Enrolled,Emily,Klapper,eklapper@campuslabs.com,,,,,,,,,
eklapper,Fall 2016ANT340 - 2,Enrolled,Emily,Klapper,eklapper@campuslabs.com,,,,,,,,,
elederhaus,Fall 2016 Session IACC141 - 3,Enrolled,Eliza,Lederhaus,elederhaus@campuslabs.com,,,,,,,,,
elederhaus,Fall 2016 Session IIACC253 - 1,Enrolled,Eliza,Lederhaus,elederhaus@campuslabs.com,,,,,,,,,
elederhaus,Fall 2016 Session IIECO202 - 2,Enrolled,Eliza,Lederhaus,elederhaus@campuslabs.com,,,,,,,,,
elederhaus,Fall 2016ANT340 - 3,Enrolled,Eliza,Lederhaus,elederhaus@campuslabs.com,,,,,,,,,
hsupernault,Fall 2016 Session IANT483 - 3,Enrolled,Hope,Supernault,hsupernault@campuslabs.com,,,,,,,,,
hsupernault,Fall 2016 Session IIANT201 - 1,Enrolled,Hope,Supernault,hsupernault@campuslabs.com,,,,,,,,,
hsupernault,Fall 2016ACC249-2,Enrolled,Hope,Supernault,hsupernault@campuslabs.com,,,,,,,,,
hsupernault,Fall 2016ECO321 - 3,Enrolled,Hope,Supernault,hsupernault@campuslabs.com,,,,,,,,,
jcaruso,Fall 2016 Session IACC141 - 1,Enrolled,Jon,Caruso,jcaruso@campuslabs.com,,,,,,,,,
jcaruso,Fall 2016 Session IECO201 - 2,Enrolled,Jon,Caruso,jcaruso@campuslabs.com,,,,,,,,,
jcaruso,Fall 2016 Session IIANT201 - 2,Enrolled,Jon,Caruso,jcaruso@campuslabs.com,,,,,,,,,
jcaruso,Fall 2016ACC249-3,Enrolled,Jon,Caruso,jcaruso@campuslabs.com,,,,,,,,,
jettings,Fall 2016 Session IACC141 - 2,Enrolled,Jen,Gettings,jgettings@campuslabs.com,,,,,,,,,
jettings,Fall 2016 Session IECO201 - 2,Enrolled,Jen,Gettings,jgettings@campuslabs.com,,,,,,,,,
jettings,Fall 2016 Session IIANT201 - 3,Enrolled,Jen,Gettings,jgettings@campuslabs.com,,,,,,,,,
jettings,Fall 2016ANT340 - 1,Enrolled,Jen,Gettings,jgettings@campuslabs.com,,,,,,,,,
jkitt,Fall 2016 Session IACC141 - 3,Enrolled,Jessica,Kitt,jkitt@campuslabs.com,,,,,,,,,
jkitt,Fall 2016 Session IIACC253 - 1,Enrolled,Jessica,Kitt,jkitt@campuslabs.com,,,,,,,,,
jkitt,Fall 2016 Session IIECO202 - 2,Enrolled,Jessica,Kitt,jkitt@campuslabs.com,,,,,,,,,
jkitt,Fall 2016ANT340 - 2,Enrolled,Jessica,Kitt,jkitt@campuslabs.com,,,,,,,,,
jnorthway,Fall 2016 Session IANT483 - 1,Enrolled,Julie,Northway,jnorthway@campuslabs.com,,,,,,,,,
jnorthway,Fall 2016 Session IIACC253 - 2,Enrolled,Julie,Northway,jnorthway@campuslabs.com,,,,,,,,,
jnorthway,Fall 2016 Session IIECO202 - 3,Enrolled,Julie,Northway,jnorthway@campuslabs.com,,,,,,,,,
jnorthway,Fall 2016ANT340 - 3,Enrolled,Julie,Northway,jnorthway@campuslabs.com,,,,,,,,,
jpecoraro,Fall 2016 Session IANT483 - 2,Enrolled,Jennifer,Pecoraro,jpecoraro@campuslabs.com,,,,,,,,,
jpecoraro,Fall 2016 Session IIACC253 - 3,Enrolled,Jennifer,Pecoraro,jpecoraro@campuslabs.com,,,,,,,,,
jpecoraro,Fall 2016ACC249-1,Enrolled,Jennifer,Pecoraro,jpecoraro@campuslabs.com,,,,,,,,,
jpecoraro,Fall 2016ECO321 - 1,Enrolled,Jennifer,Pecoraro,jpecoraro@campuslabs.com,,,,,,,,,
jpeters,Fall 2016 Session IANT483 - 2,Enrolled,Joe,Peters,jpeters@campuslabs.com,,,,,,,,,
jpeters,Fall 2016 Session IIACC253 - 3,Enrolled,Joe,Peters,jpeters@campuslabs.com,,,,,,,,,
jpeters,Fall 2016ACC249-1,Enrolled,Joe,Peters,jpeters@campuslabs.com,,,,,,,,,
jpeters,Fall 2016ECO321 - 1,Enrolled,Joe,Peters,jpeters@campuslabs.com,,,,,,,,,
jralicki,Fall 2016 Session IANT483 - 2,Enrolled,Jenna,Ralicki,jralicki@campuslabs.com,,,,,,,,,
jralicki,Fall 2016 Session IIACC253 - 3,Enrolled,Jenna,Ralicki,jralicki@campuslabs.com,,,,,,,,,
jralicki,Fall 2016ACC249-1,Enrolled,Jenna,Ralicki,jralicki@campuslabs.com,,,,,,,,,
jralicki,Fall 2016ECO321 - 2,Enrolled,Jenna,Ralicki,jralicki@campuslabs.com,,,,,,,,,
jschiller,Fall 2016 Session IANT483 - 3,Enrolled,Jennifer,Schiller,jschiller@campuslabs.com,,,,,,,,,
jschiller,Fall 2016 Session IIANT201 - 1,Enrolled,Jennifer,Schiller,jschiller@campuslabs.com,,,,,,,,,
jschiller,Fall 2016ACC249-2,Enrolled,Jennifer,Schiller,jschiller@campuslabs.com,,,,,,,,,
jschiller,Fall 2016ECO321 - 2,Enrolled,Jennifer,Schiller,jschiller@campuslabs.com,,,,,,,,,
jwhalen,Fall 2016 Session IECO201 - 1,Enrolled,Jill,Whalen,jwhalen@campuslabs.com,,,,,,,,,
jwhalen,Fall 2016 Session IIANT201 - 1,Enrolled,Jill,Whalen,jwhalen@campuslabs.com,,,,,,,,,
jwhalen,Fall 2016ACC249-2,Enrolled,Jill,Whalen,jwhalen@campuslabs.com,,,,,,,,,
jwhalen,Fall 2016ECO321 - 3,Enrolled,Jill,Whalen,jwhalen@campuslabs.com,,,,,,,,,
jwhite,Fall 2016 Session IECO201 - 1,Enrolled,John,White,jwhite@campuslabs.com,,,,,,,,,
jwhite,Fall 2016 Session IIANT201 - 2,Enrolled,John,White,jwhite@campuslabs.com,,,,,,,,,
jwhite,Fall 2016ACC249-2,Enrolled,John,White,jwhite@campuslabs.com,,,,,,,,,
jwhite,Fall 2016ECO321 - 3,Enrolled,John,White,jwhite@campuslabs.com,,,,,,,,,
kfelton,Fall 2016 Session IACC141 - 1,Enrolled,Katie,Felton,kfelton@campuslabs.com,,,,,,,,,
kfelton,Fall 2016 Session IECO201 - 2,Enrolled,Katie,Felton,kfelton@campuslabs.com,,,,,,,,,
kfelton,Fall 2016 Session IIANT201 - 3,Enrolled,Katie,Felton,kfelton@campuslabs.com,,,,,,,,,
kfelton,Fall 2016ACC249-3,Enrolled,Katie,Felton,kfelton@campuslabs.com,,,,,,,,,
kgorlick,Fall 2016 Session IACC141 - 2,Enrolled,Kyle,Gorlick,kgorlick@campuslabs.com,,,,,,,,,
kgorlick,Fall 2016 Session IECO201 - 3,Enrolled,Kyle,Gorlick,kgorlick@campuslabs.com,,,,,,,,,
kgorlick,Fall 2016 Session IIANT201 - 3,Enrolled,Kyle,Gorlick,kgorlick@campuslabs.com,,,,,,,,,
kgorlick,Fall 2016ANT340 - 1,Enrolled,Kyle,Gorlick,kgorlick@campuslabs.com,,,,,,,,,
kgriffin,Fall 2016 Session IACC141 - 2,Enrolled,Kate,Griffin,kgriffin@campuslabs.com,,,,,,,,,
kgriffin,Fall 2016 Session IECO201 - 3,Enrolled,Kate,Griffin,kgriffin@campuslabs.com,,,,,,,,,
kgriffin,Fall 2016 Session IIANT201 - 3,Enrolled,Kate,Griffin,kgriffin@campuslabs.com,,,,,,,,,
kgriffin,Fall 2016ANT340 - 1,Enrolled,Kate,Griffin,kgriffin@campuslabs.com,,,,,,,,,
khunt,Fall 2016 Session IACC141 - 2,Enrolled,Kim,Hunt,khunt@campuslabs.com,,,,,,,,,
khunt,Fall 2016 Session IECO201 - 3,Enrolled,Kim,Hunt,khunt@campuslabs.com,,,,,,,,,
khunt,Fall 2016 Session IIECO202 - 1,Enrolled,Kim,Hunt,khunt@campuslabs.com,,,,,,,,,
khunt,Fall 2016ANT340 - 1,Enrolled,Kim,Hunt,khunt@campuslabs.com,,,,,,,,,
kormsby,Fall 2016 Session IANT483 - 1,Enrolled,Kelly,Ormsby,kormsby@campuslabs.com,,,,,,,,,
kormsby,Fall 2016 Session IIACC253 - 2,Enrolled,Kelly,Ormsby,kormsby@campuslabs.com,,,,,,,,,
kormsby,Fall 2016 Session IIECO202 - 3,Enrolled,Kelly,Ormsby,kormsby@campuslabs.com,,,,,,,,,
kormsby,Fall 2016ECO321 - 1,Enrolled,Kelly,Ormsby,kormsby@campuslabs.com,,,,,,,,,
krichardson,Fall 2016 Session IANT483 - 3,Enrolled,Kayla,Richardson,krichardson@campuslabs.com,,,,,,,,,
krichardson,Fall 2016 Session IIACC253 - 3,Enrolled,Kayla,Richardson,krichardson@campuslabs.com,,,,,,,,,
krichardson,Fall 2016ACC249-1,Enrolled,Kayla,Richardson,krichardson@campuslabs.com,,,,,,,,,
krichardson,Fall 2016ECO321 - 2,Enrolled,Kayla,Richardson,krichardson@campuslabs.com,,,,,,,,,
kroot,Fall 2016 Session IANT483 - 3,Enrolled,Kyle,Root,kroot@campuslabs.com,,,,,,,,,
kroot,Fall 2016 Session IIANT201 - 1,Enrolled,Kyle,Root,kroot@campuslabs.com,,,,,,,,,
kroot,Fall 2016ACC249-2,Enrolled,Kyle,Root,kroot@campuslabs.com,,,,,,,,,
kroot,Fall 2016ECO321 - 2,Enrolled,Kyle,Root,kroot@campuslabs.com,,,,,,,,,
samplestudent,Fall 2016 Session IACC141 - 3,Enrolled,Sample,Student,CE_guru@campuslabs.com,,,,,,,,,
samplestudent,Fall 2016 Session IIACC253 - 1,Enrolled,Sample,Student,CE_guru@campuslabs.com,,,,,,,,,
samplestudent,Fall 2016 Session IIECO202 - 2,Enrolled,Sample,Student,CE_guru@campuslabs.com,,,,,,,,,
samplestudent,Fall 2016ANT340 - 2,Enrolled,Sample,Student,CE_guru@campuslabs.com,,,,,,,,,
lrainey,Fall 2016 Session IANT483 - 2,Enrolled,Lauren,Rainey,lrainey@campuslabs.com,,,,,,,,,
lrainey,Fall 2016 Session IIACC253 - 3,Enrolled,Lauren,Rainey,lrainey@campuslabs.com,,,,,,,,,
lrainey,Fall 2016ACC249-1,Enrolled,Lauren,Rainey,lrainey@campuslabs.com,,,,,,,,,
lrainey,Fall 2016ECO321 - 1,Enrolled,Lauren,Rainey,lrainey@campuslabs.com,,,,,,,,,
mhalton,Fall 2016 Session IACC141 - 2,Enrolled,Maureen,Halton,mhalton@campuslabs.com,,,,,,,,,
mhalton,Fall 2016 Session IECO201 - 3,Enrolled,Maureen,Halton,mhalton@campuslabs.com,,,,,,,,,
mhalton,Fall 2016 Session IIECO202 - 1,Enrolled,Maureen,Halton,mhalton@campuslabs.com,,,,,,,,,
mhalton,Fall 2016ANT340 - 1,Enrolled,Maureen,Halton,mhalton@campuslabs.com,,,,,,,,,
modden,Fall 2016 Session IANT483 - 1,Enrolled,Mary,Odden,modden@campuslabs.com,,,,,,,,,
modden,Fall 2016 Session IIACC253 - 2,Enrolled,Mary,Odden,modden@campuslabs.com,,,,,,,,,
modden,Fall 2016 Session IIECO202 - 3,Enrolled,Mary,Odden,modden@campuslabs.com,,,,,,,,,
modden,Fall 2016ANT340 - 3,Enrolled,Mary,Odden,modden@campuslabs.com,,,,,,,,,
msofia,Fall 2016 Session IANT483 - 3,Enrolled,Maureen,Sofia,msofia@campuslabs.com,,,,,,,,,
msofia,Fall 2016 Session IIANT201 - 1,Enrolled,Maureen,Sofia,msofia@campuslabs.com,,,,,,,,,
msofia,Fall 2016ACC249-2,Enrolled,Maureen,Sofia,msofia@campuslabs.com,,,,,,,,,
msofia,Fall 2016ECO321 - 3,Enrolled,Maureen,Sofia,msofia@campuslabs.com,,,,,,,,,
mwright,Fall 2016 Session IECO201 - 1,Enrolled,Melissa,Wright,mwright@campuslabs.com,,,,,,,,,
mwright,Fall 2016 Session IIANT201 - 2,Enrolled,Melissa,Wright,mwright@campuslabs.com,,,,,,,,,
mwright,Fall 2016ACC249-3,Enrolled,Melissa,Wright,mwright@campuslabs.com,,,,,,,,,
mwright,Fall 2016ECO321 - 3,Enrolled,Melissa,Wright,mwright@campuslabs.com,,,,,,,,,
nforysinski,Fall 2016 Session IACC141 - 1,Enrolled,Nick,Forysinski,nforysinski@campuslabs.com,,,,,,,,,
nforysinski,Fall 2016 Session IECO201 - 2,Enrolled,Nick,Forysinski,nforysinski@campuslabs.com,,,,,,,,,
nforysinski,Fall 2016 Session IIANT201 - 3,Enrolled,Nick,Forysinski,nforysinski@campuslabs.com,,,,,,,,,
nforysinski,Fall 2016ANT340 - 1,Enrolled,Nick,Forysinski,nforysinski@campuslabs.com,,,,,,,,,
nhackbarth,Fall 2016 Session IACC141 - 2,Enrolled,Nicole,Hackbarth,nhackbarth@campuslabs.com,,,,,,,,,
nhackbarth,Fall 2016 Session IECO201 - 3,Enrolled,Nicole,Hackbarth,nhackbarth@campuslabs.com,,,,,,,,,
nhackbarth,Fall 2016 Session IIECO202 - 1,Enrolled,Nicole,Hackbarth,nhackbarth@campuslabs.com,,,,,,,,,
nhackbarth,Fall 2016ANT340 - 1,Enrolled,Nicole,Hackbarth,nhackbarth@campuslabs.com,,,,,,,,,
slacount,Fall 2016 Session IACC141 - 3,Enrolled,Shannon,LaCount,slacount@campuslabs.com,,,,,,,,,
slacount,Fall 2016 Session IIACC253 - 1,Enrolled,Shannon,LaCount,slacount@campuslabs.com,,,,,,,,,
slacount,Fall 2016 Session IIECO202 - 2,Enrolled,Shannon,LaCount,slacount@campuslabs.com,,,,,,,,,
slacount,Fall 2016ANT340 - 2,Enrolled,Shannon,LaCount,slacount@campuslabs.com,,,,,,,,,
smay,Fall 2016 Session IANT483 - 1,Enrolled,Siobhan,May,smay@campuslabs.com,,,,,,,,,
smay,Fall 2016 Session IIACC253 - 2,Enrolled,Siobhan,May,smay@campuslabs.com,,,,,,,,,
smay,Fall 2016 Session IIECO202 - 2,Enrolled,Siobhan,May,smay@campuslabs.com,,,,,,,,,
smay,Fall 2016ANT340 - 3,Enrolled,Siobhan,May,smay@campuslabs.com,,,,,,,,,
spetoniak,Fall 2016 Session IANT483 - 2,Enrolled,Stephen,petoniak,spetoniak@campuslabs.com,,,,,,,,,
spetoniak,Fall 2016 Session IIACC253 - 3,Enrolled,Stephen,petoniak,spetoniak@campuslabs.com,,,,,,,,,
spetoniak,Fall 2016ACC249-1,Enrolled,Stephen,petoniak,spetoniak@campuslabs.com,,,,,,,,,
spetoniak,Fall 2016ECO321 - 1,Enrolled,Stephen,petoniak,spetoniak@campuslabs.com,,,,,,,,,
sszopinski,Fall 2016 Session IECO201 - 1,Enrolled,Steve,Szopinski,sszopinski@campuslabs.com,,,,,,,,,
sszopinski,Fall 2016 Session IIANT201 - 1,Enrolled,Steve,Szopinski,sszopinski@campuslabs.com,,,,,,,,,
sszopinski,Fall 2016ACC249-2,Enrolled,Steve,Szopinski,sszopinski@campuslabs.com,,,,,,,,,
sszopinski,Fall 2016ECO321 - 3,Enrolled,Steve,Szopinski,sszopinski@campuslabs.com,,,,,,,,,
tfisher,Fall 2016 Session IACC141 - 1,Enrolled,Tony,Fisher,tfisher@campuslabs.com,,,,,,,,,
tfisher,Fall 2016 Session IECO201 - 2,Enrolled,Tony,Fisher,tfisher@campuslabs.com,,,,,,,,,
tfisher,Fall 2016 Session IIANT201 - 3,Enrolled,Tony,Fisher,tfisher@campuslabs.com,,,,,,,,,
tfisher,Fall 2016ANT340 - 1,Enrolled,Tony,Fisher,tfisher@campuslabs.com,,,,,,,,,
vbowhay,Fall 2016 Session IACC141 - 1,Enrolled,Vincent,Bowhay,vbowhay@campuslabs.com,,,,,,,,,
vbowhay,Fall 2016 Session IECO201 - 1,Enrolled,Vincent,Bowhay,vbowhay@campuslabs.com,,,,,,,,,
vbowhay,Fall 2016 Session IIANT201 - 2,Enrolled,Vincent,Bowhay,vbowhay@campuslabs.com,,,,,,,,,
vbowhay,Fall 2016ACC249-3,Enrolled,Vincent,Bowhay,vbowhay@campuslabs.com,,,,,,,,,
zsandecki,Fall 2016 Session IANT483 - 3,Enrolled,Zachary,Sandecki,zsandecki@campuslabs.com,,,,,,,,,
zsandecki,Fall 2016 Session IIANT201 - 1,Enrolled,Zachary,Sandecki,zsandecki@campuslabs.com,,,,,,,,,
zsandecki,Fall 2016ACC249-2,Enrolled,Zachary,Sandecki,zsandecki@campuslabs.com,,,,,,,,,
zsandecki,Fall 2016ECO321 - 2,Enrolled,Zachary,Sandecki,zsandecki@campuslabs.com,,,,,,,,,
